"","Vial_No_Only","Placement_Code","T0_dry_weight.g","T1_dry_weight.g","Change","Change_Over_Area","Percent_Change","Change_per_day","Species"
"1",2,"PAC V01 C",20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,12.8844660264735,0.211220754532352,"PAC"
"2",4,"PAC V02 A",23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,10.1138756454434,0.165801240089236,"PAC"
"3",5,"PAC V02 B",20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,7.63950045225739,0.125237712332088,"PAC"
"4",6,"PAC V02 C",21.7795371346735,24.5203128422127,2.74077570753917,0.0332908979237602,12.584177940016,0.206297999016655,"PAC"
"5",7,"PAC V03 A",24.4446827618763,26.263250903493,1.81856814161677,0.0343078421867598,7.43952441245419,0.12195941659761,"PAC"
"6",8,"PAC V03 B",23.9376984827321,27.1966789319503,3.25898044921816,0.0770638394437314,13.6144268488012,0.223187325390183,"PAC"
"7",9,"PAC V03 C",22.1025968204716,23.5097150416632,1.40711822119155,0.0196958640367719,6.36630271375291,0.104365618258244,"PAC"
"8",16,"PAC V04 A",21.6511735452489,22.2654494906652,0.61427594541631,0.0151935602657706,2.83714849974543,0.0465106311433677,"PAC"
"9",17,"PAC V04 B",23.6417323912402,25.1571952330747,1.51546284183447,0.0275833288467441,6.41011756987819,0.105083894588167,"PAC"
"10",18,"PAC V04 C",21.3988998662961,23.0445962734421,1.64569640714608,0.0334680383734477,7.6905654843411,0.126074844005592,"PAC"
"11",22,"PAC V05 A",25.0933759669812,26.6886513712338,1.59527540425264,0.024096185095822,6.35735664404729,0.104218961377824,"PAC"
"12",23,"PAC V05 B",24.9157363720687,26.6306681736204,1.71493180155167,0.024943192732758,6.88292642024486,0.112834859348276,"PAC"
"13",24,"PAC V05 C",23.946729464554,25.6110079761083,1.66427851155431,0.0248931525305146,6.94991987953,0.11393311277918,"PAC"
"14",34,"PAC V06 A",28.9725693481945,31.2950564602302,2.32248711203573,0.0275155202853684,8.01615860893767,0.131412436212093,"PAC"
"15",35,"PAC V06 B",25.5470276141853,29.7747810680257,4.22775345384036,0.0435630720829573,16.54890548399,0.271293532524427,"PAC"
"16",36,"PAC V06 C",28.9513678802806,34.3572053336269,5.40583745334634,0.0489411646622428,18.6721314022208,0.306100514790505,"PAC"
"17",43,"PAC V07 A",19.5864525431239,23.0429303683123,3.45647782518834,0.0504684598966757,17.6472886939487,0.289299814654896,"PAC"
"18",44,"PAC V07 B",22.7169271182503,25.0143921382629,2.29746502001257,0.0404578582069608,10.1134497991448,0.165794259002374,"PAC"
"19",45,"PAC V07 C",22.2396429325918,24.9921718294875,2.75252889689573,0.0390114661594601,12.3766775628486,0.202896353489321,"PAC"
"20",31,"PAC V08 A",15.9421216816681,17.7493488367818,1.8072271551137,0.0338203542459271,11.336177148816,0.185838969652722,"PAC"
"21",32,"PAC V08 B",18.5544578291995,20.0490514782716,1.4945936490721,0.0273216689408393,8.05517284757318,0.132052013894642,"PAC"
"22",33,"PAC V08 C",16.6825671258676,17.0689563354235,0.386389209555912,0.00897849584514338,2.3161256096898,0.0379692722899968,"PAC"
"23",19,"PAC V09 A",23.8330643635642,24.9136580517556,1.08059368819134,0.0189079929552414,4.5340106992005,0.0743280442491885,"PAC"
"24",20,"PAC V09 B",28.0259683043884,28.7207055924287,0.694737288040336,0.0122896401088891,2.47890556534866,0.0406377961532568,"PAC"
"25",21,"PAC V09 C",27.3775420129434,32.693114547537,5.31557253459366,0.0477472681407381,19.4158136332349,0.318292026774342,"PAC"
"26",55,"PAC V10 A",27.1368264329176,29.3042245263448,2.16739809342724,0.0326735418763687,7.98692543796551,0.130933203901074,"PAC"
"27",56,"PAC V10 B",25.0675912395744,27.1558083752099,2.08821713563548,0.0353599248380942,8.33034620549737,0.136563052549137,"PAC"
"28",57,"PAC V10 C",27.3077156712777,30.907075868317,3.59936019703929,0.0403403198417223,13.1807443741078,0.216077776624718,"PAC"
"29",40,"PAC V11 A",21.6432029144568,24.3047012341603,2.66149831970349,0.0452637770116585,12.2971555098516,0.201592713276256,"PAC"
"30",41,"PAC V11 B",22.1764757088553,23.6525566000455,1.47608089119017,0.0303145245273405,6.6560661421993,0.10911583839671,"PAC"
"31",42,"PAC V11 C",22.7621642843983,26.0828902116331,3.32072592723486,0.0470520662851965,14.5887969427888,0.239160605619489,"PAC"
"32",28,"PAC V12 A",25.0435436457484,25.9197203008989,0.876176655150477,0.019230982837624,3.49861292612726,0.0573543102643813,"PAC"
