CowTagID,Minimum_Salinity,Minimum_Temperature,Minimum_TA,Minimum_pH,Minimum_Phosphate_umolL,Minimum_Silicate_umolL,Minimum_NN_umolL,Minimum_NNP_umolL,Minimum_Ammonia_umolL,Maximum_Salinity,Maximum_Temperature,Maximum_TA,Maximum_pH,Maximum_Phosphate_umolL,Maximum_Silicate_umolL,Maximum_NN_umolL,Maximum_NNP_umolL,Maximum_Ammonia_umolL,Mean_Salinity,Mean_Temperature,Mean_TA,Mean_pH,Mean_Phosphate_umolL,Mean_Silicate_umolL,Mean_NN_umolL,Mean_NNP_umolL,Mean_Ammonia_umolL,CV_Salinity,CV_Temperature,CV_TA,CV_pH,CV_Phosphate_umolL,CV_Silicate_umolL,CV_NN_umolL,CV_Ammonia_umolL,sd_Salinity,sd_Temperature,sd_TA,sd_pH,sd_Phosphate_umolL,sd_Silicate_umolL,sd_NN_umolL,sd_NNP_umolL,sd_Ammonia_umolL,Low_Tide_Mean_Salinity,Low_Tide_Mean_Temperature,Low_Tide_Mean_TA,Low_Tide_Mean_pH,Low_Tide_Mean_Phosphate_umolL,Low_Tide_Mean_Silicate_umolL,Low_Tide_Mean_NN_umolL,Low_Tide_Mean_NNP_umolL,Low_Tide_Mean_Ammonia_umolL,Time
V1,36.22,27.1,2309.516077,7.904822909610202,0.143281048,0.91,0.154868566,1.0808726496752035,0.230482094,36.67,29.3,2377.029989,8.065993322640152,0.23,5.11,0.84,4.052042902784863,0.828499422,36.48125,28.243750000000002,2344.84593925,7.998135182537688,0.190191126,2.347206797375,0.53709298475,2.7491548341258625,0.45508183275,0.004280378047766802,0.026891257194519836,0.008855289716491353,0.007638312192803674,0.16039345526132154,0.7252863975459963,0.4172084380009704,0.4523483332794905,0.15615354165509268,0.7595099453877197,20.764290132597033,0.06109225348446966,0.030505411859181368,1.7023971623635892,0.22407972522882652,0.9545699088522188,0.20585550855023835,36.43,28.2875,2355.5664505,7.9835449799895315,0.1987122365,3.41604719775,0.69447906475,3.490649863067324,0.61039598625,All
V10,36.28,26.94,2303.174091,7.941249572922881,0.132885942,0.88,0.073660449,0.5543133298479384,0.129792442,36.61,29.51,2363.270608,8.073040793958357,0.22,3.66,0.65,3.0952380952380953,0.43,36.47375,28.28,2337.85259625,8.016148270132655,0.179442168,1.426567079125,0.33607662712499997,1.7049281560672047,0.27625400375,0.0036956665442888195,0.03343568097370413,0.008280107468313003,0.006097695916536607,0.21548778445121605,0.6496029063481276,0.7018473979403728,0.31569026731211497,0.13479481761975434,0.9455610579363527,19.357670742024567,0.04888003457313988,0.0386675952194429,0.9267021207001592,0.23587450625625814,0.9682598699905639,0.0872107002898795,36.45,28.3675,2342.498401,8.014312690105005,0.18176250425,1.81897920325,0.4009730665,2.0387730761037113,0.2965168885,All
V11,36.12,26.97,2308.380986,7.941591869193428,0.130612012,0.66,0.122511503,0.9379803673799926,0.092888905,36.63,29.3,2385.505837,8.05364284248099,0.23,7.61,1.11,4.826086956521739,1.02,36.4625,28.175,2345.8864265,8.012728608989669,0.183813182875,2.08591149725,0.463686328,2.4110830450550798,0.372399456875,0.0045153916979286945,0.028841073537802395,0.011078583395450486,0.00577520583667884,0.1847532932518152,1.135166728607527,0.6546927223241247,0.765037912894969,0.16464246978572503,0.8125972469275825,25.98909841223558,0.046275157030360656,0.03396009087925441,2.3678573304981114,0.303572064382797,1.2933830183018622,0.28489970325087,36.4025,28.25,2346.734425,8.005932668303513,0.189106369,3.22989863675,0.64059296125,3.3087303291742973,0.33616281325,All
V12,36.28,27.02,2319.751901,7.94470926351412,0.131215299,0.85,0.111785903,0.7537072477855151,0.125171999,36.63,29.38,2364.360097,8.058605818414089,0.24,4.18,0.75,3.260869565217391,0.76,36.46125,28.23625,2345.187674125,8.014308401616498,0.182928310875,1.421705055375,0.364789527,1.8559124263833522,0.321454366125,0.0038240938710524318,0.0287173914668169,0.00637254810881884,0.0054638675580857355,0.23504517731854066,0.8029378171511935,0.6521288776576174,0.6505586739886314,0.13943124265591048,0.8108714448049086,14.94482127757052,0.04378911967608633,0.042996417266195505,1.141540753795619,0.2378897848237631,0.9464410433071956,0.20912492617413606,36.415,28.314999999999998,2341.67476775,8.009128364823695,0.177267015,1.951961358,0.43589203875,2.2895828679989,0.3598750535,All
V13,36.38,27.22,2320.632545,7.932415829182265,0.134742211,1.07,0.125666091,0.7639790492153687,0.132612713,36.6,29.43,2368.647558,8.070331980923482,0.24,1.89,0.59,2.6190476190476195,1.689881996,36.52142857142857,28.448571428571427,2341.928935,8.00720227774287,0.18211051185714286,1.3974812328571429,0.37558403328571427,1.9817364505841721,0.5122123945714285,0.002341737460918553,0.027617284587481482,0.00701375104627437,0.006876721981694978,0.22289179342307863,0.20200054786420923,0.4890344031991673,1.0370209419971919,0.08552359741197543,0.7856722932501518,16.42570651815647,0.05506330391523249,0.0405909385890334,0.28229197466709344,0.18367351356901546,0.6587069760901084,0.5311749799211002,36.505,28.3725,2340.17320225,8.005467802633198,0.18888561225,1.3930262684999999,0.44368746575,2.3061557820903644,0.700546306,All
V14,36.28,26.97,2307.005078,7.915014660600744,0.143002608,1.45,0.174607276,1.1072083138847466,0.223881462,36.57,29.4,2382.973932,8.093790972368412,0.23,3.66,0.6,2.6086956521739126,0.69,36.41875,28.205,2334.58966325,8.010612365718512,0.18791985325,2.76752988775,0.349528805875,1.7754438716239391,0.346129111625,0.002980711994799946,0.032040093768289465,0.01034605464414314,0.0071533031183807095,0.19971220710118096,0.27355773159528496,0.4741134690173917,0.45580095363679796,0.10855380496062055,0.9036908447346043,24.15379222763623,0.0573023384158333,0.03752988865068753,0.7570791982150435,0.16571631467490275,0.5468135626403324,0.15776597916013269,36.4025,28.275,2345.1137547499998,8.012015349151834,0.18928006925000002,3.1131265185,0.37355431975,1.8889918344027603,0.3846371875,All
V15,36.15,26.87,2313.6248650000002,7.937086860496725,0.148246568,0.65,0.1682981,1.1352579845221105,0.180377291,36.59,29.4,2376.479103,8.062723405526853,0.28,7.61,1.08,3.857142857142857,1.451119107,36.4475,28.1675,2336.0471595,8.005115420302205,0.1936423015,2.3093493188750003,0.45163470787500004,2.1935689860355154,0.442277282875,0.003934495654358044,0.03209495366747468,0.00897120917470415,0.006266493304307698,0.22708173776928164,1.0434600443036919,0.631806848861017,0.9493255519346154,0.14340253036221481,0.9040346074285931,20.957167709847965,0.05016400218153407,0.04397263033026318,2.4097137425860087,0.2853459016187697,0.8787772117687879,0.4198651256734514,36.39,28.2425,2345.25953125,8.00535741596001,0.20843943450000002,3.6462181245000003,0.55861212775,2.526174656584505,0.25564012675000003,All
V16,36.4,26.91,2321.911981,7.951601105913203,0.127456354,0.66,0.087811031,0.587184252664216,0.178217084,36.64,29.36,2363.988112,8.088842451372694,0.21,1.469932526,0.47,2.238095238095238,0.86,36.5375,28.17375,2343.26512575,8.024863207962717,0.17683791525,1.07013477725,0.256706975875,1.36803535828311,0.36665822,0.0024071956066614615,0.03026905119908672,0.006458964790105269,0.005753060472779244,0.18359465055210797,0.26013360762522614,0.5851677037341866,0.5724499627181385,0.08795290947839315,0.8527926812202694,15.135066941100845,0.04616752332119075,0.03246649525468703,0.2783780202512603,0.150216631605321,0.608166952115754,0.20989348436929903,36.5475,28.225,2344.9584885,8.027659459886369,0.1836363385,1.200470768,0.25112055475,1.2889394233280655,0.3089185565,All
V17,36.02,26.98,2314.889032,7.921680295036358,0.141331966,1.25,0.173705965,1.1354811327233547,0.187577982,37.05,29.28,2361.397676,8.075424710541673,0.29,7.39,0.99,3.4137931034482762,0.33,36.48428571428571,28.094285714285714,2341.1691152857143,8.017823602358296,0.19621901842857142,3.026725021,0.4486804034285714,2.14785350384282,0.2650405392857143,0.00859622188613817,0.032231375739607736,0.007536870534676342,0.005963768542851939,0.2699238835116963,0.6583099553959297,0.6057306539269237,0.19866973032073784,0.31362701535726095,0.9055174789930367,17.64508852169118,0.047816444181880226,0.0529641994730931,1.9925232135702544,0.2717794741729845,0.7398157949176536,0.05265553246395578,36.629999999999995,28.197499999999998,2345.62927475,8.00549266562117,0.20013826875,3.6687100247499997,0.48926421475000004,2.272492396163144,0.25442644825,All
V18,36,27.01,2320.524277,7.934220317717556,0.141192746,0.858814892,0.110343805,0.7815118561402581,0.164055727,36.6,29.07,2389.34,8.06491147928196,0.31,7.738904509,1.09,3.516129032258065,4.25986836,36.4225,28.17625,2354.67743725,8.010872399075334,0.2049987715,2.784979697,0.47393580837500004,2.1446007410816015,0.786178960375,0.00629128618875194,0.027548619377279378,0.010257829408577657,0.006380957590852523,0.25534262188512075,1.092256735435834,0.6549878845842908,1.789953396677002,0.22914437120981754,0.776216786729068,24.153879463537322,0.05111703704423071,0.05234492379803877,3.0419128321002975,0.3104222125562871,0.9905222675559926,1.4072237005192254,36.32,28.3425,2350.87985025,8.003132815723694,0.219570761,4.491727679,0.5581243717500001,2.3397807674377957,1.2862120025,All
